COUNTRY,COUNTRY_CODE,INDICATOR_NAME,INDICATOR_CODE,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Japan,JPN,Population (Total),SP.POP.TOTL,92500572,94943000,95832000,96812000,97826000,98883000,99790000,100725000,101061000,103172000,104345000,105697000,107188000,108079000,110162000,111940000,112771000,113863000,114898000,115870000,116782000,117648000,118449000,119259000,120018000,120754000,121492000,122091000,122613000,123116000,123537000,123921000,124229000,124536000,124961000,125439000,125761000,126091000,126410000,126650000,126870000,127149000,127445000,127718000,127761000,127773000,127756000,127770750,127704040,127557958,127450459,127817277,127561489, - , - , - , - , - , - , - 
Kazakhstan,KAZ,Population (Total),SP.POP.TOTL,9995997,10411040,10819503,11211938,11577537,11909001,12200891,12455366,12682452,12897025,13109992,13325342,13540301,13751019,13950987,14136006,14281735,14428967,14577717,14728000,14898332,15070634,15244929,15421240,15599590,15780002,15896089,16013030,16130832,16249500,16348000,16450500,16439095,16330419,16095199,15815626,15577894,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425, - , - , - , - , - , - , - 
Kenya,KEN,Population (Total),SP.POP.TOTL,8105440,8361442,8628973,8908425,9200158,9504702,9822505,10154489,10502250,10867717,11252466,11657477,12083159,12529800,12997438,13486241,13995996,14527242,15081677,15661480,16267906,16901167,17559844,18241424,18942464,19660018,20392312,21138372,21896890,22666720,23446439,24237056,25036941,25839132,26634659,27418077,28186224,28943647,29702246,30478597,31285050,32126351,33000524,33905011,34834606,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141, - , - , - , - , - , - , - 
Kyrgyz Republic,KGZ,Population (Total),SP.POP.TOTL,2172300,2255900,2333400,2413700,2495300,2573300,2655300,2736500,2818300,2894800,2959900,3022300,3088200,3153800,3223900,3292400,3358700,3423900,3487100,3552000,3617400,3685800,3759300,3838300,3916400,3990300,4066500,4144600,4218400,4307500,4391200,4463600,4515400,4516700,4515100,4560400,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200, - , - , - , - , - , - , - 
Cambodia,KHM,Population (Total),SP.POP.TOTL,5720019,5869843,6024281,6178752,6327099,6464999,6586874,6693369,6793560,6900525,7021559,7168725,7334436,7483408,7567314,7555928,7430726,7214262,6967562,6775751,6699273,6761653,6943097,7207649,7499331,7777235,8030211,8271042,8510817,8768664,9057339,9378185,9721775,10077404,10430268,10769198,11090611,11395958,11685332,11960467,12222871,12472586,12709336,12934369,13149386,13356424,13555054,13747288,13940518,14144225,14364931,14605862,14864646, - , - , - , - , - , - , - 
Kiribati,KIR,Population (Total),SP.POP.TOTL,32970,33873,34800,35766,36789,37881,39055,40296,41552,42756,43860,44843,45731,46573,47446,48404,49466,50617,51853,53154,54510,55908,57352,58860,60455,62145,63950,65841,67729,69490,71040,72343,73434,74395,75346,76378,77511,78725,80018,81377,82788,84261,85799,87371,88936,90468,91953,93401,94832,96272,97743,99250,100786, - , - , - , - , - , - , - 
St. Kitts and Nevis,KNA,Population (Total),SP.POP.TOTL,51197,51195,50966,50533,49934,49211,48355,47383,46399,45534,44882,44490,44328,44314,44327,44278,44142,43946,43704,43450,43205,42978,42761,42539,42294,42017,41697,41353,41045,40854,40833,41009,41360,41836,42363,42888,43391,43885,44391,44938,45544,46214,46934,47679,48421,49139,49823,50478,51110,51731,52352,52971,53584, - , - , - , - , - , - , - 
"Korea, Rep.",KOR,Population (Total),SP.POP.TOTL,25012374,25765673,26513030,27261747,27984155,28704674,29435571,30130983,30838302,31544266,32240827,32882704,33505406,34103149,34692266,35280725,35848523,36411795,36969185,37534236,38123775,38723248,39326352,39910403,40405956,40805744,41213674,41621690,42031247,42449038,42869283,43295704,43747962,44194628,44641540,45092991,45524681,45953580,46286503,46616677,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441, - , - , - , - , - , - , - 
Kosovo,KSV,Population (Total),SP.POP.TOTL,947000,966000,994000,1022000,1050000,1078000,1106000,1135000,1163000,1191000,1219000,1247000,1278000,1308000,1339000,1369000,1400000,1430000,1460000,1491000,1521000,1552000,1582000,1614000,1647000,1682000,1717000,1753000,1791000,1827000,1862000,1898000,1932000,1965000,1997000,2029000,2059000,2086000,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1807106, - , - , - , - , - , - , - 
Kuwait,KWT,Population (Total),SP.POP.TOTL,261994,294670,335186,381688,431404,482247,533633,585968,639328,694069,750423,808277,867326,927403,988328,1049988,1112107,1174713,1238353,1303795,1371494,1439561,1507059,1576266,1650388,1730441,1821560,1919980,2007415,2059222,2059774,1999651, - , - , - ,1586123,1585244,1635999,1722208,1818405,1906231,1980604,2048232,2116353,2196466,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496, - , - , - , - , - , - , - 
